OPDEF1,count(1)
ISCSLU00000000703012,1
ISCSLU0000000070310,1
ISCSLU00000000703108,1
ISCSLU0000000070311,5
ISCSLU00000000703111,1
ISCSLU0000000070312,2
ISCSLU00000000703208,1
ISCSLU00000000703210,1
ISCSLU00000000703312,1
ISCSLU00000000703408,1
ISCSLU00000000703410,2
ISCSLU00000000703412,1
ISCSLU00000000703510,1
ISCSLU00000000703511,2
ISCSLU00000000703512,1
ISCSLU00000000703710,3
ISCSLU00000000703810,2
ISCSLU00000000703910,1
ISCSLU00000000704010,1
ISCSLU0000000070408,1
ISCSLU0000000070410,1
ISCSLU0000000070411,2
ISCSLU00000000704110,1
ISCSLU0000000070412,1
ISCSLU0000000070413,1
ISCSLU00000000704210,2
ISCSLU00000000704310,1
ISCSLU00000000704410,2
ISCSLU00000000704509,1
ISCSLU00000000704510,1
ISCSLU00000000704610,2
ISCSLU00000000704710,2
ISCSLU00000000704810,3
ISCSLU00000000704910,2
ISCSLU00000000705010,2
ISCSLU0000000070508,1
ISCSLU0000000070510,2
ISCSLU0000000070511,2
ISCSLU00000000705110,1
ISCSLU0000000070512,1
ISCSLU00000000705410,1
ISCSLU00000000705509,1
ISCSLU00000000705510,2
ISCSLU00000000705610,1
ISCSLU00000000705709,1
ISCSLU00000000705810,1
ISCSLU00000000706010,1
ISCSLU0000000070610,2
ISCSLU0000000070611,3
ISCSLU00000000706209,1
ISCSLU00000000706409,1
ISCSLU00000000706609,1
ISCSLU00000000706610,1
ISCSLU00000000706909,1
ISCSLU00000000707010,1
ISCSLU0000000070710,2
ISCSLU0000000070711,2
ISCSLU00000000707210,1
ISCSLU00000000707410,1
ISCSLU00000000707710,1
ISCSLU0000000070810,1
ISCSLU0000000070811,3
ISCSLU0000000070812,1
ISCSLU00000000708210,1
ISCSLU00000000708610,1
ISCSLU0000000070910,3
ISCSLU0000000070911,2
ISCSLU00000000709110,1
ISCSLU0000000070912,1
ISCSLU0000000071,1
ISCSLU0000000072,26
ISCSLU0000000072211,1
ISCSLU0000000072411,1
ISCSLU0000000072511,1
ISCSLU0000000072611,1
ISCSLU0000000072711,1
KENT OPDEF WE 26-20,1
KENT OPDEF WE 76-21,1
KENT WE 59-22,1
KENT WE 85/22,1
LANC ME 14-21,1
LANC ME 47-22,1
LANC ME28-21,1
LANC OPDEF ME 103-23,1
LANC WE 09/23,1
LANC WE 21-20,1
LANC WE 84-22,1
LANC WE OPDEF 98-23,1
LANC-OPDEF-ME-126-23,1
LANCASTER WE 10-22,1
LEDB WE 06/07/10 - 22,1
LINK 11 14-22 & 16-22,1
Lancaster WE 93-22,1
MDWY ME 08-21,1
MDWY OPDEF OP 01-21,2
MDWY OPOPDEF 08-23,1
MDWY-OPDEF-WE-09/22,1
ME  04-21,1
ME - 70/20,1
ME 007-21 ,1
ME 007-23,1
ME 008-22,1
ME 01-22,1
ME 01-23,1
ME 02-22,1
ME 02-22 ,1
ME 028-20,1
ME 03-21,1
ME 03-22,1
ME 03-23,1
ME 030-20,1
ME 033-20,1
ME 035-20,1
ME 04-21 031130Z FEB 21,1
ME 04-21 Cat C2,1
ME 048-20,1
ME 049-20,1
ME 05-23 C2,1
ME 052/053-20,2
ME 057-20,1
ME 06-19,1
ME 06-21,1
ME 06/21,2
ME 06/23,1
ME 061-23,1
ME 063-22 ,1
ME 065-21,1
ME 07-23,1
ME 08-21,1
ME 08-22,2
ME 08-23,1
ME 084-21,2
ME 09-20,1
ME 09-22,1
ME 09-22 / ME 10-22,1
ME 09-23,1
ME 10-21,2
ME 10-21; ME 19-20,1
ME 10-22,2
ME 10-22; ME 16-22,1
ME 10-23,1
ME 100-22,1
ME 101-22,1
ME 102-20,1
ME 103-22,2
ME 103-23,3
ME 105-21,1
ME 107-22,1
ME 108-20,1
ME 108-23 & ME 111-23,1
ME 109-20,1
ME 109-21,1
ME 11-18 ,1
ME 11-22,1
ME 113-21,1
ME 113-22,1
ME 113-23 ,1
ME 119-22,1
ME 119-22 (C2),1
ME 12-21 ,1
ME 12-23,1
ME 120-20,1
ME 127-23,1
ME 129-19 B2,1
ME 13-21,1
ME 13-22,3
ME 131-21,1
ME 136-20 ,1
ME 14-20,1
ME 14-21,2
ME 14-22,1
ME 144-20,1
ME 146-21,1
ME 15-21,1
ME 157-20,1
ME 159-20,1
ME 16 - 23,1
ME 16-21,1
ME 161-20,1
ME 162-20,1
ME 17-21 ,1
ME 17-22,1
ME 177-20,1
ME 18-21,1
ME 18-22,3
ME 18-23,1
ME 182-20,1
ME 185-23,1
ME 19-21,4
ME 19-21 100826Z Mar 21,1
ME 19-22,1
ME 19-22 050202Z JUN 22,1
ME 191-20 ,1
ME 20-115,1
ME 20-157        ,1
ME 20-161 / 20-160,1
ME 20-20,1
ME 20-21,1
ME 206-21/ ME 21-22 ,1
ME 21-04,1
ME 21-20,1
ME 21-206,1
ME 21-21,1
ME 21-22 & 80-22,1
ME 215-20,1
ME 22-116 290812 Z MAY ,1
ME 22-156,1
ME 22-198,1
ME 22-22,1
ME 22-37 and ME 22-38,1
ME 22-40,2
ME 23-024,1
ME 23-071,2
ME 23-12 & 32-21,1
ME 23-21,1
ME 23-22 030650Z JUL 22,1
ME 23-23,1
ME 23-23 101533Z APR 23,1
ME 232/21 ,1
ME 233-20,1
ME 24-20,1
ME 24-21,1
ME 24-22,2
ME 25-21,4
ME 25-22,1
ME 25-22 ,1
"ME 25-22, 26-22. 27-22",1
ME 25-23/ME 26-23,1
ME 26-20,1
ME 26-22,1
ME 27-20 ,1
ME 27-21,1
ME 27-22,2
ME 27-23,1
ME 28-22,2
ME 28-23,1
ME 28-23 Mid hip davit,1
ME 29-23,1
ME 29-23 110752Z JUL 23,1
ME 30-21,2
ME 30-22 MGF,1
ME 31-20,1
ME 31-21; ME 32-21,1
ME 31-22,4
ME 31-23,2
ME 32-21,1
ME 32-23,1
ME 33-20,1
ME 33-21,5
ME 33-22,1
ME 33-23,1
ME 34-21,1
ME 34-22,1
ME 35-20 140804Z JUN 20,1
