table,column,type
WORK_ORDERS,PRIMARY_LIFE_DECIMAL,"NUMBER(22,15)"
WORK_ORDERS,PRODUCTION_IMPACT,CHAR(1)
WORK_ORDERS,QUANTITY_COMPLETED,"NUMBER(22,10)"
WORK_ORDERS,QUANTITY_DUE,"NUMBER(22,10)"
WORK_ORDERS,QUANTITY_ORDERED,"NUMBER(22,10)"
WORK_ORDERS,QUANTITY_ORIGINAL_ORDERED,"NUMBER(22,10)"
WORK_ORDERS,QUANTITY_OVER_RECEIVED,"NUMBER(22,10)"
WORK_ORDERS,QUANTITY_SCRAPPED,"NUMBER(22,10)"
WORK_ORDERS,QUANTITY_SPLIT,"NUMBER(22,10)"
WORK_ORDERS,RECEIVED_SEGREGATION_CODE,VARCHAR2(20)
WORK_ORDERS,REPAIR_DOCUMENT_NO,VARCHAR2(20)
WORK_ORDERS,REQUESTED_BY,VARCHAR2(20)
WORK_ORDERS,RESULT_CODE,VARCHAR2(20)
WORK_ORDERS,SHIP_TO_DODAAC,VARCHAR2(20)
WORK_ORDERS,SHOP_BENCH_CODE,VARCHAR2(20)
WORK_ORDERS,SPLIT_FROM_ORDER_NO,VARCHAR2(20)
WORK_ORDERS,SUPPLY_DISCREPANCY_NO,VARCHAR2(20)
WORK_ORDERS,SYS_NC00231$,DATE
WORK_ORDERS,SYS_NC00232$,DATE
WORK_ORDERS,TAG_NO,VARCHAR2(20)
WORK_ORDERS,TEMPERATURE,"NUMBER(22,15)"
EO_RELATIONSHIPS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
INTERFACE_DEFINITIONS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
INTERFACE_DEFINITIONS,VERSION_NUMBER,"NUMBER(22,10)"
WRAM_LS_EIAC_MAPPINGS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
SUB_SYSTEMS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
MAIN_EQUIPMENT_NUMBERS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_WO_SYMPTOM_COMMENTS,DEFAULT_WORK_ORDER_ID,VARCHAR2(80)
DEFAULT_WO_SYMPTOM_COMMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ACTION_TAKEN_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
AC_EQUIPMENT_RUNNING_TASKS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
SYMPTOMS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_HISTORIES,BASE_TASK_CODE,VARCHAR2(50)
TASK_HISTORIES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_HISTORIES,INTERVAL_TYPE,VARCHAR2(2)
TASK_HISTORIES,RECALL_CODE,VARCHAR2(8)
CLOCKING_EVENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
