id,data_source_id,table_name,rule_type,column_names,column_match_expr,comment,tags,parameters,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by
67,4,TC_ACTIVITY,complete,ASSETID,,,ICD-1.2,,2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
68,4,TC_ACTIVITY,unique,ASSETID,,,ICD-1.2,,2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
655,4,TC_ACTIVITY,length,ATUDCONTROLNUMBER,,,ADW-ICD-1.8,"{\"max\": 40}",2024-06-25T13:29:24.071Z,dq,2024-06-25T13:29:24.071Z,dq,,
75,4,TC_ACTIVITY,length,ATUDCONTROLNUMBER,,,ICD-1.2,"{\"max\": 255}",2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
76,4,TC_ACTIVITY,complete,ATUDCONTROLNUMBER,,,ICD-1.2,,2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
77,4,TC_ACTIVITY,unique,ATUDCONTROLNUMBER,,,ICD-1.2,,2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
656,4,TC_ACTIVITY,complete,ATUDENDDATE,,,ADW-ICD-1.8,,2024-06-25T13:29:24.071Z,dq,2024-06-25T13:29:24.071Z,dq,,
657,4,TC_ACTIVITY,complete,ATUDSTARTDATE,,,ADW-ICD-1.8,,2024-06-25T13:29:24.071Z,dq,2024-06-25T13:29:24.071Z,dq,,
658,4,TC_ACTIVITY,length,AUTHINITIALS,,,ADW-ICD-1.8,"{\"max\": 100}",2024-06-25T13:29:24.071Z,dq,2024-06-25T13:29:24.071Z,dq,,
81,4,TC_ACTIVITY,length,AUTHINITIALS,,,ICD-1.2,"{\"max\": 20}",2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
82,4,TC_ACTIVITY,complete,AUTHINITIALS,,,ICD-1.2,,2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
83,4,TC_ACTIVITY,unique,AUTHINITIALS,,,ICD-1.2,,2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
659,4,TC_ACTIVITY,length,AUTHSERVICENUMBER,,,ADW-ICD-1.8,"{\"max\": 20}",2024-06-25T13:29:24.071Z,dq,2024-06-25T13:29:24.071Z,dq,,
